LR_00025_Run_1,LR_00025_Run_2,LR_00025_Run_3,LR_0005_Run_1,LR_0005_Run_2,LR_0005_Run_3,LR_00075_Run_1,LR_00075_Run_2,LR_00075_Run_3,LR_001_Run_1,LR_001_Run_2,LR_001_Run_3
0,0,0,0,0,0,0,0,0,0,0,0
-94.49308014,-186.0913696,-50.62157059,-40.22055435,-229.7738647,-119.8881149,-25.29061317,-48.41300201,-50.56142044,-90.55632782,-49.42996597,-59.73678207
-109.4893494,-182.6160278,-77.44845581,-123.0602112,-194.4619751,-146.1743622,-66.96663666,-87.18601227,-66.33777618,-90.9855423,-96.50765228,-143.4937286
-168.0884247,-230.3346252,-53.91090393,-103.4642487,-251.7847443,-137.0254059,-79.68826294,-81.74452972,-96.6042099,-134.3805695,-178.0089569,-133.0315094
-160.5747223,-277.928009,-65.44358063,-104.2954636,-220.3244934,-163.954483,-112.2567749,-105.4467087,-96.84615326,-137.4227142,-182.3283386,-128.5343933
-192.0643768,-256.3117676,-68.72930908,-143.1157532,-200.0401154,-174.7766876,-110.9136581,-94.63437653,-128.1696167,-124.1498947,-174.3409882,-117.3864136
-198.1993256,-258.7224731,-80.32515717,-178.4749451,-248.2421265,-164.691803,-106.7977371,-119.096489,-131.4229736,-132.4331055,-174.8388672,-113.2099762
-198.4208527,-209.082428,-129.6792145,-173.8468018,-232.4640656,-193.605957,-121.3119736,-112.9936142,-129.6401367,-144.6351013,-167.4116974,-148.6711731
-220.1336975,-233.8744659,-106.5596619,-165.5349426,-223.4090118,-198.030014,-127.2513199,-122.3267593,-123.9502869,-141.9862366,-185.4143829,-136.9298096
-202.2240601,-224.2076721,-114.5469513,-170.9854889,-210.8860931,-197.2768097,-125.4834061,-151.0419159,-120.928154,-147.0209808,-189.0672607,-148.7378082
-195.7335815,-198.7261505,-131.316864,-171.2646637,-212.6231079,-187.7991791,-124.5761719,-145.0576019,-145.9197998,-159.3914185,-179.7582703,-144.609848
-203.700882,-189.2998199,-130.761734,-163.7267303,-199.2190247,-188.2665405,-150.3065491,-160.4841156,-136.3417511,-155.142746,-175.367569,-144.4526367
-200.2019958,-182.2211609,-132.1260223,-156.0455627,-190.7459106,-177.4025116,-147.803009,-154.7461853,-130.2640839,-162.4474487,-187.7363281,-149.7955475
-192.1943665,-177.7361298,-130.3041229,-151.4739685,-185.132309,-182.9257965,-144.2170868,-152.1875,-150.9836578,-161.0353088,-177.8446198,-149.0860138
-187.9961853,-172.4672089,-132.1704254,-155.8770294,-194.576889,-177.552887,-148.8075104,-140.9227142,-144.0695648,-173.8314972,-177.5997314,-152.4662476
-178.5735626,-166.8786316,-142.6449585,-162.3402557,-188.1587219,-170.5539551,-139.4599609,-137.1257477,-170.7978821,-187.2710876,-173.6250916,-151.915863
-179.1495667,-165.3878632,-152.2673798,-167.7509918,-195.1087646,-167.1779785,-134.960495,-133.5195313,-166.8511353,-182.4272919,-169.6516266,-153.8209686
-181.3397369,-164.1336212,-163.4217834,-168.3844147,-200.6177368,-166.2633362,-133.1401672,-132.3217316,-166.9176178,-179.7614594,-170.8107452,-159.6992645
-191.8278046,-160.8855591,-159.3088379,-168.7452393,-199.526123,-155.3431091,-133.0774841,-125.9651184,-159.6248169,-175.7761383,-174.2181854,-162.4901581
-189.2669678,-165.868576,-156.5990143,-163.8525085,-201.725296,-156.4367676,-139.5688019,-127.6950684,-156.7361908,-173.9044189,-169.4592896,-162.6911926
-187.0392609,-167.0612488,-170.4618378,-161.8499603,-201.9450073,-146.6532135,-138.6685486,-125.8560791,-156.0411224,-168.9215698,-166.9378662,-160.2696381
