LR_00025,LR_0005,LR_00075,LR_001
0,0,0,0
-220.8040136,-259.9216894,-82.84335709,-133.1487172
-148.7498169,-203.7748616,-137.6470642,-197.838206
-233.5581125,-192.6693153,-123.5589091,-262.9077784
-236.7985916,-157.9248556,-180.2000554,-153.2476934
-194.3003261,-221.5743815,-143.1859296,-84.61218899
-219.3653615,-344.0889587,-166.3048147,-149.3699468
-179.5988007,-219.8241018,-136.7818222,-247.4566956
-247.9920413,-161.1437327,-150.0631587,-105.4442584
-122.1186447,-169.5727234,-204.2597961,-269.8850657
-124.561793,-165.6908824,-198.8515345,-169.8744303
-167.202212,-108.6636263,-264.8332412,-126.066831
-134.6633937,-66.65815353,-86.99451574,-266.7252808
-104.7151337,-152.9757894,-212.2875722,-110.5973129
-128.7408549,-215.5509008,-81.1871427,-242.3128764
-140.0156619,-138.9150162,-217.0469103,-215.5102463
-212.0425059,-224.5982488,-80.83069865,-131.7684301
-238.1435038,-208.0456034,-127.400561,-194.8628286
-189.4364751,-104.6321551,-57.28328354,-184.1062978
-168.7564367,-163.8721492,-175.1066971,-127.9642792
-260.3727315,-93.04005178,-117.2931951,-99.20414224
-127.8897196,-197.0233815,-316.4653676,-153.4702301
-238.8039348,-108.627978,-109.3290227,-132.2756627
-259.7610321,-171.3124441,-117.0756086,-98.44112141
-232.3323479,-112.5864741,-194.3984197,-143.1587652
-109.5796534,-75.59304,-116.8747648,-185.273646
-106.0555547,-189.8919118,-177.7469126,-136.3442459
-185.358724,-120.202535,-111.7792613,-132.1422068
-123.0822474,-234.0634003,-58.30733617,-141.2736308
-180.7535578,-221.0623143,-143.3460719,-73.43856494
-191.7479935,-116.4055659,-153.4655202,-109.186985
-226.3320643,-182.7562701,-57.85571893,-96.54175442
-162.8837802,-148.9451955,-144.0071182,-132.993515
-184.6225052,-225.3441417,-115.0787427,-65.73826801
-223.9205577,-192.2704265,-124.5278829,-139.2725016
-287.686086,-79.94357683,-103.0905329,-108.8112768
-190.1378733,-199.8205566,-53.48256449,-91.78964997
-105.9597956,-113.8500595,-110.3211524,-149.5914357
-139.0911687,-88.84569423,-187.5379028,-124.1997045
-211.0266418,-99.47998809,-90.60920969,-105.375749
-113.9599813,-109.9558965,-160.8267263,-172.7212461
-176.6960087,-107.5334168,-199.1876157,-171.4487457
-185.7216721,-62.90799332,-87.83508936,-229.5116374
-211.5634511,-41.31362088,-118.2437159,-142.5369746
-91.75275167,-122.1941503,-151.2941882,-126.0195363
-218.4555155,-154.0995153,-77.49459457,-73.41856131
-187.991169,-102.4827042,-142.5249456,-59.15243403
-112.4127299,-77.31874848,-115.5730845,-61.45709356
-144.7326304,-186.2509867,-85.59351221,-84.22391254
-59.25484181,-206.0175705,-54.10894267,-83.57118351
-67.86941783,-95.18363699,-93.85033926,-74.28494834
-50.23167292,-103.1008873,-76.18371455,-91.17177708
-214.2274831,-81.41236114,-104.2770869,-97.7098452
-87.3439738,-107.1645749,-78.4592336,-119.530014
-117.645635,-95.20333353,-150.7767614,-113.9928614
-92.3381017,-117.0212453,-107.4727821,-101.2562504
-78.25645321,-158.4261042,-81.44490177,-89.03283182
-181.4265798,-113.9957148,-140.709877,-82.84907851
-120.0866216,-103.1351865,-83.63379415,-102.0525487
-119.6038081,-85.30246862,-81.76622201,-100.6844991
-114.8719559,-108.9003716,-71.99636905,-75.08174133
-134.0322049,-93.16163636,-107.3959173,-89.55609384
-235.1948293,-84.92335765,-58.18265025,-77.73140971
-68.06746102,-81.5941213,-86.79524738,-149.2276942
-79.0130806,-143.7478612,-81.84773127,-67.17474747
-64.57435798,-35.05294577,-58.83847682,-71.88948441
-121.6804403,-136.5411084,-88.85158795,-58.72961553
-170.9123281,-73.2313207,-100.2230326,-96.58334351
-93.01659141,-63.96577619,-55.67327627,-75.72904967
-200.2333501,-71.29564284,-95.41198031,-63.78078969
-68.15413284,-96.69159064,-79.85911814,-45.1688563
-24.6810379,-135.1712214,-60.06340536,-56.67204984
-66.06580353,-99.47575314,-67.13991165,-30.9026769
-54.22907003,-114.5402012,-73.4095459,-73.41063309
-118.1794103,-88.13255947,-101.5715815,-80.42407099
-101.9472224,-50.84650168,-46.24409961,-85.37372842
-54.79622015,-75.47437032,-81.7392273,-74.57184728
-121.2621435,-68.45948155,-69.77641423,-86.28417206
-106.9668884,-117.891215,-105.5586065,-92.52477517
-76.66257097,-40.89767075,-79.63614654,-71.63756178
-89.66471356,-42.8895607,-101.9578056,-83.00811133
-62.62989934,-112.7920914,-125.9807078,-47.61205423
-67.39372253,-142.2878647,-92.20598985,-143.1842143
-69.13533721,-52.79839452,-89.4173177,-41.61416213
-95.61151379,-93.12560778,-111.8132617,-92.3221817
-68.58440527,-153.2628657,-63.94991811,-86.50614166
-92.52303567,-51.21094725,-72.30332916,-97.96103922
-86.69049836,-37.4989144,-57.70014215,-61.43261719
-92.98894755,-79.06525022,-83.29289755,-45.67008146
-35.04371913,-25.39061483,-50.87773641,-59.38878376
-43.85748036,-78.85111362,-41.35349083,-135.2193082
-73.93468666,-64.30113729,-150.8512217,-94.50152588
-62.80145391,-152.4050395,-62.44095738,-78.31448874
-26.98804585,-72.53640619,-92.98779424,-64.23029454
-138.7625873,-37.40980991,-109.455829,-42.94674174
-56.81104406,-62.96672567,-70.8256073,-69.98809942
-38.85480435,-56.1868763,-67.28184764,-65.84914525
-94.73209125,-73.2429657,-80.94121297,-32.09011515
-70.35190772,-40.4730943,-91.23269908,-63.06257884
-42.28093465,-46.24153026,-64.6192805,-40.62595256
-103.1996663,-52.59086545,-5.994077047,-89.06384151
-65.13203812,-52.400431,-52.03136826,-120.6547877
-107.9628754,-53.27923902,-84.93620046,-65.07306544
-64.48656464,-84.20700075,-39.17505264,-71.23246892
-41.86922773,-11.65105152,-48.95930926,-24.52626968
-3.540749873,-18.95753988,-17.25250117,-62.45185725
-51.48058192,-54.30038071,-25.91882579,-1.345390096
-58.02635876,-113.5222855,-61.43696785,-59.50992076
-116.7848256,-95.25212606,-47.87698873,-30.53075774
-51.93299419,-48.36839544,-31.65358416,-66.28355233
-83.15091196,-42.83083741,-40.60904312,-62.37272708
-102.0794245,-88.53618494,-36.6563619,-114.8624802
-47.98887284,-83.88123066,-54.24742826,-94.51536816
-70.89930088,-92.71869659,-36.31945737,-71.3195521
