Small_Avg_Episodic_Reward,Mid_Avg_Episodic_Reward,Large_Avg_Episodic_Reward
0,0,0
-238.9424337,-110.3299052,-218.0436961
-174.70858,-112.6827011,-250.6528727
-168.7978745,-122.4873708,-98.63437655
-138.8337504,-105.6310056,-291.8075104
-214.5182877,-117.685182,-197.8997345
-249.2830149,-247.5890618,-113.6920598
-104.4874675,-203.6015345,-195.2748744
-196.879715,-156.5093689,-123.4414978
-164.3921509,-146.4681651,-232.0251973
-161.4866384,-187.1603394,-238.2738266
-102.3613307,-181.8681386,-107.0450452
-190.4798329,-122.1757991,-142.5886326
-227.9542008,-97.68518192,-191.0552139
-252.5158691,-95.65377426,-190.5573883
-83.40748725,-232.1699295,-134.2311986
-166.6986898,-148.2987391,-161.3121313
-128.6713142,-156.0869929,-185.2455622
-145.6462389,-163.7866059,-168.0317332
-232.5755158,-290.3408865,-107.963829
-117.3449389,-144.2876231,-84.05941264
-188.1043345,-135.5398229,-138.2012405
-89.14081031,-104.7877528,-133.5757395
-137.8339335,-99.54038494,-98.20302963
-201.9491043,-186.1152585,-108.6906446
-165.7069117,-106.6162338,-102.3239085
-186.6734568,-120.2502365,-44.3500061
-275.1331279,-160.6278,-137.3771591
-165.9869181,-87.66847229,-118.7125092
-338.1828206,-133.8010483,-204.1503271
-118.7407862,-116.438207,-136.6325912
-342.9601237,-95.15187866,-135.7772776
-237.2786764,-97.54219057,-73.11768214
-163.0465673,-121.2333578,-205.7917887
-69.00397873,-130.9042918,-145.5231959
-141.1517639,-97.36798859,-117.9183375
-190.3586222,-104.0655619,-109.6908417
-140.5756925,-97.40105693,-164.1353734
-166.6612447,-122.8547719,-164.4014664
-111.1989517,-130.6428324,-172.1594899
-247.8064423,-109.0452576,-82.95522624
-146.4007263,-61.23698934,-157.6249695
-113.0006841,-62.91957855,-142.2672551
-121.9109166,-137.5713377,-98.91336186
-97.01755524,-179.7978363,-87.28938867
-69.11175554,-120.5915629,-88.89324697
-99.9405403,-217.2242635,-77.02202352
-210.279981,-58.37848886,-131.2411219
-115.0964686,-77.94449615,-37.51406112
-144.1333059,-50.92403921,-41.18402736
-184.7213898,-57.021897,-75.83169429
-136.3241781,-70.1697909,-44.68017387
-96.5436398,-111.2217534,-62.58657964
-83.93522898,-83.12134934,-93.6607844
-112.5206477,-80.81625875,-78.94382348
-86.20330682,-140.1065674,-98.67633819
-141.4463069,-78.56368032,-36.00842555
-98.54897817,-104.9255905,-64.66980998
-115.8994827,-23.94945653,-111.701842
-85.14473216,-69.59424337,-115.793218
-148.4420573,-111.9160449,-87.22813923
-144.4452947,-85.33720907,-174.3317795
