batch_size_24_Run_1,batch_size_24_Run_2,batch_size_24_Run_3,batch_size_32_Run_1,batch_size_32_Run_2,batch_size_32_Run_3,batch_size_64_Run_1,batch_size_64_Run_2,batch_size_64_Run_3,batch_size_128_Run_1,batch_size_128_Run_2,batch_size_128_Run_3
0,0,0,0,0,0,0,0,0,0,0,0
-92.40019989,-56.89125443,-173.8427734,-148.9194641,-21.48936081,-37.06246185,-188.169693,-79.6317215,-108.7558823,-41.29048538,-75.12025452,-111.8994141
-225.9467926,-81.71800995,-135.9165039,-154.5763855,-35.72489929,-123.5373154,-181.7624359,-185.5895233,-104.0735855,-122.778244,-71.25081635,-110.9209595
-220.7226563,-92.16524506,-131.4226837,-152.1365967,-54.63525391,-150.0987701,-146.6648102,-181.843689,-99.34653473,-114.5656128,-86.80235291,-128.8910065
-178.6752319,-166.9298553,-130.7272491,-144.4543304,-117.1285019,-135.4002075,-122.0556946,-166.2649841,-104.2761765,-123.0647202,-91.33715057,-156.0926361
-184.2632599,-160.3265228,-131.2306213,-134.1834259,-121.1337204,-131.7648315,-121.101944,-147.70784,-141.8731232,-125.3054733,-102.0123749,-146.9660492
-198.1159058,-149.4008331,-126.5118942,-143.5331116,-128.3187561,-167.5164337,-119.9560013,-156.6274872,-144.6808472,-143.3781281,-100.6587372,-158.9463348
-192.5295715,-190.0083618,-124.5058594,-171.2246094,-155.7357635,-177.2038574,-121.8765793,-153.1337585,-141.026123,-139.0414124,-98.78688812,-155.0781555
-195.41185,-183.9490662,-120.6530457,-155.2242432,-149.1722717,-169.061142,-125.5804062,-170.8252106,-140.4056091,-140.413208,-103.7722092,-155.1749115
-206.9589996,-193.3241119,-133.0544128,-144.9767151,-172.8376923,-167.1309509,-123.5891418,-173.0301666,-135.4062653,-139.8885803,-107.912735,-147.4035492
-195.5680084,-182.0517731,-136.9324951,-154.4922791,-159.3862,-163.0795288,-126.2739792,-167.753891,-132.7695313,-153.3683472,-101.7524796,-141.7895966
-215.7266998,-176.5615082,-157.3758545,-149.5576172,-152.3610229,-181.9324036,-127.3535767,-166.1964874,-132.4353943,-155.2750397,-116.9408493,-147.9041138
-216.6068115,-166.7653503,-170.0122986,-145.083847,-169.1216278,-178.8522491,-122.5684586,-177.0634766,-142.3460388,-156.5706787,-117.522583,-140.6536713
-205.5771179,-162.5042419,-169.1671906,-155.7880859,-165.0438843,-182.9398346,-120.3930359,-179.908371,-152.185379,-152.3523865,-140.2859192,-139.5608368
-197.9918213,-165.5432739,-182.7368927,-150.4989014,-158.8776398,-183.1030273,-119.074707,-201.5757751,-146.543808,-146.7588959,-139.0316467,-136.3067017
-193.073822,-169.1936188,-188.0204315,-155.7095947,-164.4311218,-182.6202393,-135.8806458,-208.3807526,-144.7926941,-146.1370544,-133.138504,-135.504715
-192.8378296,-163.3196716,-180.6564636,-162.0789185,-161.0299835,-177.1890869,-133.0482025,-201.6424255,-143.8397827,-143.9656525,-132.7449493,-133.5839081
-187.8210754,-161.0942535,-177.3691406,-157.6796722,-169.9881897,-182.9087982,-124.904892,-197.2041168,-139.372345,-139.4191132,-129.4937744,-143.5366364
-181.5100403,-157.4473419,-173.117218,-154.6947479,-178.7940063,-184.1759796,-124.673111,-207.7688599,-142.5318451,-135.6668091,-127.0786514,-157.2684479
