batch_size_24_Run_1,batch_size_24_Run_2,batch_size_24_Run_3,batch_size_32_Run_1,batch_size_32_Run_2,batch_size_32_Run_3,batch_size_64_Run_1,batch_size_64_Run_2,batch_size_64_Run_3,batch_size_128_Run_1,batch_size_128_Run_2,batch_size_128_Run_3
0,0,0,0,0,0,0,0,0,0,0,0
-184.8003998,-113.7825089,-347.6855469,-297.8389282,-42.97872162,-74.12492371,-376.339386,-159.263443,-217.5117645,-82.58097076,-150.240509,-223.7988281
-493.039978,-131.371521,-60.06396484,-165.8901978,-64.19598389,-296.48703,-168.9479218,-397.505127,-94.708992,-181.9362335,-63.51192474,-108.964035
-205.0502472,-123.5069504,-117.9412155,-144.8172455,-111.3663177,-229.7831116,-41.37194824,-170.6062012,-85.16538239,-81.715065,-133.4569702,-182.8011322
-10.48551846,-465.9883423,-127.9455261,-113.7252808,-367.1015015,-76.6059494,-23.61920547,-103.9501724,-123.994751,-165.560257,-109.4763489,-264.8991699
-212.2033844,-127.309845,-133.7474518,-82.82891083,-141.15979,-113.5880051,-116.3331985,-54.92211914,-329.8578186,-138.7500153,-155.388504,-101.3331146
-281.231781,-83.84671021,-98.19955444,-199.6312103,-171.4289703,-382.026062,-113.0803757,-210.1453247,-161.5271606,-269.8866577,-92.53689575,-230.828064
-153.4252014,-474.2610779,-110.4635925,-365.065094,-347.6548157,-245.0157623,-135.3206329,-128.6776581,-115.4430695,-104.3477097,-85.68391418,-128.0009155
-91.48750305,-135.4745941,-89.83052826,-27.22126961,-96.66441345,-186.4327393,-109.6218643,-312.356842,-135.4414978,-152.7594147,-143.6548309,-155.9489441
-322.3945313,-277.699585,-244.6667786,-52.74897766,-385.8264465,-86.5477829,-103.6765213,-192.8748474,-90.41217041,-134.6422119,-145.1774139,-77.46120453
-197.1294861,-69.32846069,-175.7133179,-249.6479034,-24.87130356,-103.263504,-155.8072052,-114.9910965,-106.4022446,-301.645752,-40.14996338,-85.65020752
-437.4723206,-116.1684341,-382.2527161,-95.27633667,-75.08405304,-389.3139648,-171.1695557,-149.0650635,-128.7599335,-178.1554565,-284.0129089,-215.1637115
-227.1681976,-49.21159744,-321.6497192,-91.39867401,-370.2489624,-141.8904419,-78.10219574,-307.4673462,-261.2736206,-173.4138794,-124.503334,-53.64828491
-62.19104767,-107.1097641,-158.1806488,-294.9432068,-112.0330811,-236.0783234,-92.11252594,-216.8919525,-280.0969543,-93.2964325,-436.2093506,-125.3540573
-91.79768372,-208.0896606,-372.7127991,-76.45018768,-72.55023193,-185.3877258,-100.6181488,-504.9194641,-67.56170654,-62.85659027,-121.4718018,-90.74872589
-119.3038864,-223.9489441,-267.2735901,-233.8700104,-247.7333984,-175.3785095,-387.9697876,-310.4553528,-118.5260925,-136.1874542,-44.74142075,-123.4749985
-189.0619812,-69.33640289,-62.83282852,-263.9880981,-106.6116333,-90.2907486,-87.72910309,-93.82923889,-128.5932007,-107.0519485,-126.448143,-102.8511505
-102.5363541,-123.2623215,-121.4848328,-82.89265442,-322.277832,-280.1437988,13.53146839,-121.7528992,-63.42594528,-57.58119965,-74.22375488,-312.7328186
-67.91131592,-91.80271149,-96.58260345,-100.9659729,-337.2988281,-206.9850922,-120.5010452,-397.9340515,-199.4027252,-64.37317657,-83.60637665,-404.4412537
-252.3334808,-87.54766846,-65.0306015,-135.9374847,-105.7164841,-139.9830475,-256.1251526,-104.6025162,-23.26209068,-76.58700562,-119.704895,-74.31194305
-245.9219208,-202.6004028,-165.0458984,-125.351387,-188.1201019,-80.46873474,-80.43676758,-73.37006378,-395.8619385,-257.7943115,-132.8021545,-7.199575901
-205.0344696,-87.80532837,-155.87883,-123.679451,-80.89318085,-153.1876068,-159.9384766,-109.1731262,-422.9883728,-369.5635071,-414.1091003,-101.6097031
-100.7188339,-120.8620911,-353.1143799,8.698123932,-417.7392578,-120.8480911,-107.7849884,-109.1633301,-83.70912933,-449.6038513,-227.0753937,-101.5693207
-119.8489685,-42.78959656,-172.1838989,-240.8975372,-175.8143768,-175.8726196,-110.2788544,-139.7164001,-285.5975037,-83.83586121,-87.00841522,-84.03648376
-117.3241196,-146.7975006,-200.3205872,-149.7978363,-82.86952209,-127.7026443,-98.27124023,-189.0046997,-533.3503418,-312.3909912,-58.29382324,-306.0424194
-74.90856171,-321.8609924,-133.1156769,-112.6718903,-30.6595974,-127.0646133,-82.19439697,-264.5384216,-341.1712646,-103.4356155,-84.97083282,-65.50151825
-266.5755005,-82.99192047,-258.309021,-231.8865509,-273.9980774,-131.5038605,-101.0081406,-135.0071716,-279.9517212,-194.1318359,-143.052063,-98.88328552
-65.15155029,-83.92510223,-131.796051,-137.2556458,-139.6654358,-370.2907715,-114.0037613,-102.339447,-117.58992,-215.6264801,-77.48793793,-100.747261
-176.0447083,16.78540993,-125.3654556,-145.9034271,-38.66440964,-15.95764446,-106.5772781,-114.4686508,-241.4844818,-93.31027222,-49.7034874,-51.72102737
-91.64373016,-58.62285614,-196.1214294,-103.2749786,-112.8163147,23.83303261,-13.85066605,-58.30522919,-68.59463501,-22.88996506,-130.1511841,-95.87498474
-155.8413544,-91.74689484,-141.8995972,-80.46853638,-81.8223114,-176.952301,-434.5177307,-139.5218811,-58.96803284,-319.7066956,-95.09981537,-272.3453979
-159.6297607,-202.2707977,-272.380249,-86.8394928,-65.38004303,-263.4266052,-88.41550446,-161.1514282,-110.4863052,-75.18914032,-29.82362366,-75.16350555
-70.02023315,-168.5282135,-37.52507401,-126.0177002,-110.8418274,-299.2876892,-170.9970398,-124.349556,-155.5377502,-87.36060333,-74.17220306,-134.401535
-104.9211273,-78.76278687,-89.30906677,-85.27980804,-130.6202545,-52.67105484,-73.79646301,-94.16815186,-62.24969101,-187.6556091,-55.77196884,-93.83427429
-20.18302727,-109.308403,-134.9924316,-140.8577728,-86.19439697,-98.90088654,-99.75234985,-60.82168961,-90.43836975,-94.16093445,-215.847168,-124.753685
-310.163147,-70.07917023,-145.1558533,-132.5045319,-56.6510849,-142.3934937,-305.1381836,-249.8904266,-354.5805054,-112.1292648,-121.1431122,-163.8960266
-241.7518158,-254.3552399,-60.16568756,-126.8591843,-50.56560898,-108.4268341,-76.1493988,-234.5287628,-148.7324829,-119.9396057,-191.6958008,-98.22738647
-72.81145477,-96.97551727,-309.3454895,-205.1903534,-1.828715801,-136.4644318,-145.5432129,-40.11619568,-73.12709808,-335.206543,-100.0128708,-116.3211823
-160.6406403,-86.68068695,-116.059166,-82.70478821,-198.8352356,-86.18252563,-79.28954315,-292.6876831,-150.0774384,-134.2119751,-117.5933762,-82.85636139
-85.68875122,-108.9709244,-209.0687408,-89.89528656,-91.49020386,-37.9763031,-78.25179291,-98.58393097,-149.5943146,-124.0990524,-87.38161469,-103.8162842
-164.1665039,-67.42169189,-137.0027618,-186.3407745,-88.85077667,-133.5157471,-71.43658447,-84.08847046,-100.7886124,-146.6971436,-29.48567581,-147.9015961
-121.711586,-41.37200165,-348.7395325,-207.1847229,-79.22293091,-339.6382446,-61.01335526,-132.4474945,-75.91130829,-101.5118332,-212.1736755,-134.6853638
-186.3796844,-234.3200378,-196.9557953,-82.60752869,-82.69226837,-88.79928589,-90.38576508,0.683416724,-107.8500977,-13.6903553,-73.21812439,-133.5545044
-118.2875061,-90.15200806,-90.40148163,-82.89247131,-51.31090164,-88.48776245,-99.03968811,-98.29302979,-193.3301239,-124.5818024,-122.3119736,-129.3686371
-138.251236,-75.86090088,-231.9533539,-43.37244797,-133.671402,-55.48043823,-153.333374,-144.6005707,-95.54308319,-123.8872757,-6.070908546,-97.19797516
-63.06845856,-101.1057129,-325.1664124,-63.18918228,-114.3109131,-88.57392883,-76.41840363,-86.63165283,-57.09004974,-68.05997467,-65.33154297,-215.3824768
-83.89480591,-149.0729065,-47.84184647,-107.4707794,-130.9963989,-65.93751526,-52.3380661,-81.99958801,-48.90202713,-87.7662735,-204.8340912,-47.85824585
-82.35914612,-162.9084473,-109.9365463,-99.76738739,-78.43121338,-135.513504,-132.0634003,-71.70710754,-114.7577209,-73.71766663,-135.375824,-59.08559799
-145.2525177,-193.878067,-137.3161621,-174.2556763,-45.44184494,-119.3452072,-79.46878052,-125.4460831,-95.17397308,-62.15388489,-73.75073242,-59.91202927
-46.87823868,-60.56820679,-73.05148315,-59.7714386,-86.12088776,-257.5543213,-189.1729279,33.97506332,-63.25024033,-250.2253876,-94.32700348,-81.12592316
-149.0892792,-131.1369781,-127.4451065,-42.76019287,-121.3085632,-7.334340096,-353.4778137,-75.04834747,-132.2751923,-52.34243774,-74.68426514,-74.4059906
-104.8910828,-140.1781769,-40.88803864,-122.1121902,-55.88049316,-36.45885468,-83.48721313,-108.7592163,-91.29227448,-142.2232819,-109.6674423,-72.73956299
-115.0207748,-80.21075439,-122.2971954,-94.09079742,-65.39525604,-60.04011154,-56.83461761,-94.60010529,-115.2931824,-66.01235199,-161.9161224,-63.7669487
