Batch_Size_24,Batch_Size_32,Batch_Size_64,Batch_Size_128
0,0,0,0
-215.4228185,-138.3141912,-251.0381978,-152.2067693
-228.1584879,-175.5244039,-220.3873469,-118.1373977
-148.8328044,-161.9888916,-99.04784394,-132.6577225
-201.473129,-185.8109106,-83.85470962,-179.9785919
-157.7535604,-112.5255686,-167.0377121,-131.823878
-154.4260152,-251.0287475,-161.584287,-197.7505392
-246.0499573,-319.245224,-126.4804535,-106.0108465
-105.5975418,-103.4394741,-185.8067347,-150.7877299
-281.586965,-175.041069,-128.9878464,-119.0936101
-147.3904216,-125.9275703,-125.7335154,-142.4819743
-311.9644903,-186.5581182,-149.6648509,-225.777359
-199.3431714,-201.1793594,-215.6143875,-117.1884994
-109.1604869,-214.3515371,-196.3671442,-218.2866135
-224.2000478,-111.4627151,-224.3664398,-91.69237265
-203.5088069,-218.9939728,-272.3170776,-101.4679578
-107.0770709,-153.63016,-103.3838476,-112.1170807
-115.7611695,-228.4380951,-57.21579203,-148.1792577
-85.43221029,-215.0832977,-239.279274,-184.140269
-134.9705836,-127.2123388,-127.9965865,-90.20128122
-204.5227407,-131.3134079,-183.2229233,-132.5986806
-149.572876,-119.2534129,-230.6999919,-295.0941035
-191.5651016,-176.6297417,-100.2191493,-259.4161886
-111.607488,-197.5281779,-178.5309194,-84.9602534
-154.8140691,-120.1233342,-273.5420939,-225.5757446
-176.6284103,-90.13203367,-229.3013611,-84.63598886
-202.6254807,-212.4628296,-171.9890111,-145.3557281
-93.62423451,-215.7372844,-111.3110428,-131.2872263
-94.87491799,-66.84182707,-154.1768036,-64.91159566
-115.4626719,-64.0860869,-46.91684342,-82.97204463
-129.8292821,-113.0810496,-211.0025482,-229.0506363
-211.4269358,-138.5487137,-120.017746,-60.05875651
-92.02450689,-178.7157389,-150.294782,-98.64478046
-90.99766031,-89.52370579,-76.73810196,-112.4206174
-88.16128729,-108.6510188,-83.67080307,-144.9205958
-175.1327235,-110.5163702,-303.2030385,-132.3894679
-185.4242478,-95.28387579,-153.1368815,-136.620931
-159.7108205,-114.4945003,-86.26216889,-183.8468654
-121.1268311,-122.5741831,-174.0182216,-111.5539042
-134.5761388,-73.12059784,-108.8100128,-105.0989838
-122.8636525,-136.2357661,-85.43788911,-108.0281385
-170.6077067,-208.6819661,-89.79071935,-149.4569575
-205.8851725,-84.69969432,-65.85081535,-73.48766136
-99.61366526,-74.23037847,-130.2209473,-125.4208044
