Small_Model_Run_1,Small_Model_Run_2,Small_Model_Run_3,Mid_Model_Run_1,Mid_Model_Run_2,Mid_Model_Run_3,Large_Model_Run_1,Large_Model_Run_2,Large_Model_Run_3
0,0,0,0,0,0,0,0,0
-82.1169281,-107.7930145,-202.447998,-84.03496552,-33.03117371,-48.42871857,-70.23071289,-69.06221771,-187.7726135
-132.7867432,-109.2055511,-173.0712585,-92.13388824,-43.69202042,-87.18669891,-154.3453674,-145.8742676,-168.4769287
-122.745697,-111.8372803,-204.8854218,-119.5213394,-102.699295,-36.90435028,-142.364502,-134.6590576,-148.4746552
-120.7608948,-107.4049683,-200.171402,-120.3722534,-108.8960876,-41.4102478,-202.0420532,-143.3287506,-170.1122589
-122.689064,-154.7962952,-237.806427,-150.8051453,-90.52036285,-43.08257675,-189.3453217,-138.6704102,-200.5033722
-126.8339996,-149.6750183,-226.2628326,-174.5717468,-85.75372314,-89.56248474,-175.2478943,-131.8950653,-194.5985718
-122.712944,-163.06604,-211.2013245,-168.1828308,-122.340004,-91.97969818,-170.5449677,-161.6185913,-180.0883789
-137.410965,-165.849472,-198.6265869,-182.3478851,-120.1440964,-89.68006134,-151.2659912,-151.1743927,-184.7803345
-133.5603485,-162.7610931,-198.7374573,-172.4690704,-115.4746933,-108.9515228,-154.104248,-155.5040131,-198.2141113
-135.3463593,-159.9664459,-196.1643372,-164.6132813,-121.3106537,-125.9336929,-159.1413727,-154.2106018,-226.1612396
-131.1883698,-156.8686371,-187.5180054,-153.902359,-122.7570038,-146.3438263,-155.3988342,-146.4780273,-214.8208008
-126.7650375,-154.4996796,-202.1750336,-151.6863251,-126.0742264,-140.8983459,-141.7172089,-144.9405212,-223.1990356
-136.7032318,-172.0612183,-208.7525024,-143.5306549,-127.8564301,-138.3001556,-138.2189789,-146.940979,-229.2188873
-136.081131,-164.2602386,-208.9858704,-140.626297,-127.6999435,-133.1792755,-138.182663,-156.410202,-223.6055298
-132.3717804,-157.6665497,-203.8146057,-139.6010742,-148.9745483,-131.3676453,-135.0000916,-157.2840576,-218.6951904
